Start,Stop,Subject,
950,999,Latin America (General),
1000,1039,Cuba,
1040,1079,Puerto Rico,
1080,1119,Haiti,
1120,1159,Dominican Republic,
1160,1199,US Virgin Islands,
1200,1399,Mexico,
1400,1439,Central American (General),
1440,1479,Costa Rica,
1480,1519,Guatemala,
1520,1559,Honduras,
1560,1599,El Salvador,
1600,1639,Nicaragua,
1640,1679,Panama,
1850,1999,South America (General),
2000,2199,Argentina,
2200,2399,Bolivia,
2400,2599,Brazil,
2600,2799,Chile,
2800,2999,Colombia,
3000,3199,Ecuador,
3200,3399,Paraguay,
3400,3599,Peru,
3600,3799,Urugual,
3800,3899,Venezuela,
,,,
,,,
,,,
,,,
,,, 
